,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Idaho
5,Illinois
6,Kansas
7,Kentucky
8,Louisiana
9,Massachusetts
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,New Hampshire
16,North Carolina
17,North Dakota
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,South Dakota
24,Tennessee
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
